Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
713,bleed_2,Bleed 2,Action,"PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch",120.0,2017-04-25
714,dracx,Castlevania: Dracula X,Action,"Super Nintendo, Nintendo 3DS, PlayStation 4, Xbox One, PC, Wii U Virtual Console, Switch",67.0,2017-02-08
715,rondo,Castlevania: Rondo of Blood,Action,"Wii Virtual Console, PlayStation Portable, PlayStation Vita, PlayStation 4, TurboGrafx-16/PC Engine, PlayStation 5, MiSTer",112.0,1995-07-21
716,steamworld_dig,SteamWorld Dig,Misc,"Wii U, Nintendo 3DS, PlayStation Vita, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, Google Stadia",93.0,1993-10-29
717,lom,Legend of Mana,RPG,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita",114.0,2013-01-01
718,gsun,Golden Sun,RPG,"Game Boy Advance, Nintendo DS, Nintendo 3DS, Wii U Virtual Console, New Nintendo 3DS, Game Boy Player",78.0,1999-01-01
719,rygar,Rygar (NES),2D Platformer,"Nintendo Entertainment System, Arcade, Switch",128.0,2001-08-01
720,ib,Ib,RPG,PC,141.0,1987-01-01
721,swordigo,Swordigo,2D Platformer,"Android, iOS",112.0,2012-02-27
722,morrowind,The Elder Scrolls III: Morrowind,RPG,"Xbox 360, Xbox, Xbox One, PC, Xbox One X, Xbox One S, Xbox Series X, Xbox Series S",62.0,2012-03-22
723,ffmq,Final Fantasy Mystic Quest,RPG,Super Nintendo,137.0,2002-05-01
724,oos,The Legend of Zelda: Oracle of Seasons,Action-Adventure,"Game Boy Color, Game Boy Advance, Nintendo 3DS Virtual Console, Game Boy Player, Game Boy Interface",85.0,1992-01-01
725,swe1r,Star Wars Episode I: Racer,Racing,"Nintendo 64, Dreamcast, PlayStation 4, Xbox One, PC, Switch",164.0,2001-02-27
726,extreme_power_pamplona,Extreme Power Pamplona,2D Platformer,Web,117.0,1999-04-30
727,mksc,Mario Kart: Super Circuit,Racing,"Game Boy Advance, Nintendo DS, Nintendo 3DS Virtual Console, Wii U Virtual Console, Game Boy Player, Game Boy Interface",182.0,2007-06-17
728,skylanders_spyros_adventure,Skylanders: Spyro's Adventure,3D Platformer,"Wii U, PlayStation 3, Xbox 360, PC, Wii, Macintosh, Wii Mini, WiiU Backwards Compatibility",82.0,2001-07-21
729,yhtbtr,You Have to Burn the Rope,2D Platformer,"PC, Web",217.0,2011-10-12
730,apfa,A Platformer for Ants,2D Platformer,"PC, Web",162.0,2008-01-01
731,madagascar,Madagascar,3D Platformer,"GameCube, PlayStation 2, PlayStation 3, Xbox, PC, Wii",105.0,2017-12-10
732,sea_of_thieves,Sea of Thieves,Action-Adventure,"Xbox One, PC, Xbox Series X, Xbox Series S",201.0,2005-05-24
733,kdl2,Kirby's Dream Land 2,2D Platformer,"Wii U, Game Boy Color, Wii, Nintendo 3DS Virtual Console, Game Boy Player, Super Game Boy 2, Game Boy",95.0,2018-03-20
734,bhero,Bomberman Hero,3D Platformer,"Nintendo 64, Wii Virtual Console",58.0,1995-03-21
735,growtopia,Growtopia,Sandbox,"PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Switch",156.0,1998-01-01
736,mslug3,Metal Slug 3,Action,"Wii Virtual Console, Arcade, PlayStation 2, PlayStation 3, PlayStation Portable, Xbox 360, Xbox, PlayStation Vita, PlayStation 4, Xbox One, PC, Wii, Android, iOS, Neo Geo AES, Switch",182.0,2013-01-09
737,pkmncolosseum,Pokémon Colosseum,RPG,"GameCube, Wii",100.0,2000-01-01
738,toejam_and_earl,ToeJam & Earl,Action,"Wii Virtual Console, Sega Genesis, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch",142.0,2003-11-21
739,ksp,Kerbal Space Program,Misc,"PlayStation 4, Xbox One, PC, Linux",144.0,1991-01-01
740,cftkk,SpongeBob SquarePants: Creature from the Krusty Krab,3D Platformer,"GameCube, PlayStation 2, Wii, backwards-compatible PlayStation 3, WiiU Backwards Compatibility",104.0,2011-06-24
741,adcap,AdVenture Capitalist,Misc,"PlayStation 4, PC, Android, iOS, Web, Macintosh",180.0,2006-10-16
742,dsp2,Dead Space 2,Action,"PlayStation 3, Xbox 360, PC",85.0,2015-03-30
743,ge60fps,GoldenEye 007,First-person shooter,PC,20.0,2011-01-25
744,sonic_asr,Sonic & SEGA All-Stars Racing,Racing,"PlayStation 3, Xbox 360, PC, Wii",130.0,1997-08-25
745,nslu,New Super Luigi U,2D Platformer,Wii U,96.0,2010-02-23
746,bug_fables,Bug Fables: The Everlasting Sapling,RPG,"PlayStation 4, Xbox One, PC, Switch",71.0,2013-06-19
747,faw1,Fireboy and Watergirl 1 - The Forest Temple,Puzzle,PC,120.0,2019-11-21
748,ck3,Crusader Kings III,Strategy,PC,187.0,2009-01-01
749,bh,Billy Hatcher and the Giant Egg,3D Platformer,GameCube,72.0,2020-09-01
750,actraiser1,ActRaiser,2D Platformer,"Super Nintendo, Wii Virtual Console, MiSTer, Analogue Super Nt",70.0,2003-01-01
751,bms,Black Mesa,First-person shooter,PC,86.0,1990-12-16
752,redball2,Red Ball 2,2D Platformer,Web,82.0,2012-09-14
753,goiwam,Golfing Over It with Alva Majo,2D Platformer,"PC, Android, iOS",123.0,2009-10-08
754,re0,Resident Evil Zero,Horror,"GameCube, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Wii, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",130.0,2018-03-28
755,mgstts,Metal Gear Solid: The Twin Snakes,Action,"GameCube, Wii",112.0,2002-11-12
756,tm2stadium,TrackMania² Stadium,Racing,PC,188.0,2004-01-01
757,ninja_gaiden_black,Ninja Gaiden Black,Action,"Xbox 360, Xbox, Xbox One, Xbox One X, Xbox One S, Xbox Series X, Xbox Series S",47.0,2013-06-20
758,we_were_here,We Were Here,Puzzle,"PlayStation 4, Xbox One, PC",158.0,2005-09-20
